Image Name,Actual,trocr_large_handwritten,trocr_base_printed,trocr_base_handwritten,thivy_trocr_large_handwritten,dunnbc22_trocr_large_handwritten
30b.jpg, One Hundred Dollars and, One Hundred Dollars and, ONE HANDRED DOLLARS AND, One Hundred Dollars and, Ove Hundvedred Collars and, HUNDRED
350.png, Forty Eight Thousand Six Hundred Eighty, Furry Eight Thousand Six Hundred Eighty.," BARILY LIGHT INCLUDED BY AND DATE, MY", Fanny Eight Thousand Six. How a Fidelity, Faaerty Eiig det Theasande sig storvendelig, EMPTY
48.jpg, Thirty thousand, Thirty thousand., MISTY THOLLAND, Thirty thousand, Kitty Thomasand, EMPTY
48a.jpg, Rimsha Jawad, Rimsha Jawad, RIOMSHA JAYCARD, Rimsha Jawad, Klimska Tarrad, EMPTY
53.jpg, Joy Johnson, Joy Johnson., JOY JOHNSON, Joy Johnson, Jeg Johnsen, JOYY JOHNY
53a.jpg, Fifteen Thousand Only, Fifteen Thousand Only, FIFTEEN THOWSAND ONLY, Fifteen Thousand Only, Freden Thorsand Only, FATEEN-THOUSAND
68.jpg, Hundred and one rupee only, Hundred and one rupee only, HUNDRED AND ONE RUPEE ONLY, Hundred and one rupee only, Hvordkes ro Ro over Kittyt over, HUMDRED
68a.jpg, mahad Tariq, mahad Tariq., MAHAD TARIQ, mahad tarie., Mai Takig, MATHAD TARI
68b.jpg," seventy-eight thousand, Six"," seventy-eight thousand, Six"," SEVENTY-EIGHT THOUSAND, SIX"," seventy-eight thousand,  six"," Sever-Eller-Eldertil Thevsd,  sik", EMPTY
300.jpg, Kimberly Kraus, Kimberly Kraus., KIMLEY KRAUS, Kinsberly Kraus.,,
300a.jpg, ZDRAVKO INANOV VALCHEV, ZDRAVKO INANOV VALCHEV, ZDRAVKO /VANOV VALCHEV, ZDRAVKO Ivanov Valcheij,,
300b.jpg, Thirteen and 00/100," Whirteen and 9,000", CHITTEN AND FOOD, Thirteen and Yoo,,
301.jpg, Ronald Reagan, Ronned Reagan., ROUND REGON, Ronard Bagon,,
301a.jpg, S.F.V.B.R., S.F.V.B.R., 8.7.V.B.R., 8. 7. V.B.R.,,
302.jpg, J. Smith, gismith., 9.AMTH, gudmith.,,
302a.jpg, Mary Johnson, Mary Johnson., MARY JOHNSON, mary Johnson,,
302b.jpg, Seven hundred fifteen and 34/100, Seven hundred fifteen and #, LEVEN HUNDRED JITEN AND, Seven hundred fifteen-and its,,
302c.jpg,"715,39","715,39"," 7/5,34","715,",,
302d.jpg, monthly rent, monthly rent., MONTHLY RENT, monthly rent.,,
306.jpg, ???, V. Shameous., G ANGELOTA -, youthners.,,
306a.jpg, John Doe or order, John Doe or order., JOHN DOE OR ORDER, John Doe or order,,
306b.jpg, one hundred thirty six 58/00," one hundred thirty six 58,00", ONE HUNDEED THIRRY SIX 58.00," one hundred thirty six 5,400",,
306c.jpg, 14 June O5 Date, 14 June O.500ate, 14 JUNE05DATE, 14 June05000,,
1.png, Mary Johnson, Mary Johnson., MARY JOHNSON, Mary Johnson.,,
1a.png, Seven hundred fifteen and 59/100, Seven hundred fifteen hand #, SEVEN HUNDRED JITEN AND NO, Seven hundred fifteenland. It,,
1b.png, Monthly rent, Monthly rent, MONTHLY RENT, monthly rent,,
1c.png," Aug. 11, 2019"," Aug. 11, 2019."," QTY II, 2014"," Aug. 11, 2019",,
2.png, Mr. Michael Troy, Mr. Michael Iroy, MM.MERS DAY, Mr. Michael Troy,,
2a.png, Ronald Reagan, Ronald Reagan., ROUND REGON, Premaid Reagan.,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,Almost correct,,
,,,,Correct,,
,,,,Incorrect when text is legible,,
,,,,Incorrect (visually similar),,
